"ICD10","ICD10Descr"
"F1999","Oth psychoactive substance use, unsp w unsp disorder"
"F11221","Opioid dependence with intoxication delirium"
"F11981","Opioid use, unsp with opioid-induced sexual dysfunction"
"F19221","Oth psychoactive substance dependence w intox delirium"
"F1314","Sedative, hypnotic or anxiolytic abuse w mood disorder"
"F19282","Oth psychoactive substance dependence w sleep disorder"
"F19239","Oth psychoactive substance dependence with withdrawal, unsp"
"F1620","Hallucinogen dependence, uncomplicated"
"F16188","Hallucinogen abuse with other hallucinogen-induced disorder"
"F1610","Hallucinogen abuse, uncomplicated"
"F16159","Hallucinogen abuse w psychotic disorder, unsp"
"F19251","Oth psychoactv substance depend w psych disorder w hallucin"
"F15181","Oth stimulant abuse w stimulant-induced sexual dysfunction"
"F19959","Oth psychoactv substance use, unsp w psych disorder, unsp"
"F11129","Opioid abuse with intoxication, unspecified"
"F15188","Other stimulant abuse with other stimulant-induced disorder"
"F1490","Cocaine use, unspecified, uncomplicated"
"F13230","Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated"
"F1494","Cocaine use, unspecified with cocaine-induced mood disorder"
"F1624","Hallucinogen dependence w hallucinogen-induced mood disorder"
"F13180","Sedative, hypnotic or anxiolytic abuse w anxiety disorder"
"F1519","Other stimulant abuse with unsp stimulant-induced disorder"
"F14980","Cocaine use, unsp with cocaine-induced anxiety disorder"
"F15220","Other stimulant dependence with intoxication, uncomplicated"
"F14959","Cocaine use, unsp w cocaine-induced psychotic disorder, unsp"
"F12959","Cannabis use, unsp with psychotic disorder, unspecified"
"F13221","Sedatv/hyp/anxiolytc dependence w intoxication delirium"
"F16120","Hallucinogen abuse with intoxication, uncomplicated"
"F11122","Opioid abuse with intoxication with perceptual disturbance"
"F1890","Inhalant use, unspecified, uncomplicated"
"F13251","Sedatv/hyp/anxiolytc depend w psychotic disorder w hallucin"
"F1690","Hallucinogen use, unspecified, uncomplicated"
"F1827","Inhalant dependence with inhalant-induced dementia"
"F15288","Oth stimulant dependence with oth stimulant-induced disorder"
"F1924","Oth psychoactive substance dependence w mood disorder"
"F1199","Opioid use, unsp with unspecified opioid-induced disorder"
"F19229","Oth psychoactive substance dependence w intoxication, unsp"
"F1614","Hallucinogen abuse with hallucinogen-induced mood disorder"
"F12288","Cannabis dependence with other cannabis-induced disorder"
"F1894","Inhalant use, unsp with inhalant-induced mood disorder"
"F19922","Oth psychoactv sub use, unsp w intox w perceptl disturb"
"F19250","Oth psychoactv substance depend w psych disorder w delusions"
"F11182","Opioid abuse with opioid-induced sleep disorder"
"F1629","Hallucinogen dependence w unsp hallucinogen-induced disorder"
"F1120","Opioid dependence, uncomplicated"
"F14251","Cocaine depend w cocaine-induc psychotic disorder w hallucin"
"F1914","Oth psychoactive substance abuse w mood disorder"
"F1820","Inhalant dependence, uncomplicated"
"F1521","Other stimulant dependence, in remission"
"F1619","Hallucinogen abuse with unsp hallucinogen-induced disorder"
"F1621","Hallucinogen dependence, in remission"
"F19982","Oth psychoactive substance use, unsp w sleep disorder"
"F1123","Opioid dependence with withdrawal"
"F18180","Inhalant abuse with inhalant-induced anxiety disorder"
"F19122","Oth psychoactv substance abuse w intox w perceptual disturb"
"F1421","Cocaine dependence, in remission"
"F19281","Oth psychoactive substance dependence w sexual dysfunction"
"F19939","Other psychoactive substance use, unsp with withdrawal, unsp"
"F1320","Sedative, hypnotic or anxiolytic dependence, uncomplicated"
"F1221","Cannabis dependence, in remission"
"F15182","Other stimulant abuse with stimulant-induced sleep disorder"
"F18959","Inhalant use, unsp w inhalnt-induce psychotic disorder, unsp"
"F14220","Cocaine dependence with intoxication, uncomplicated"
"F1210","Cannabis abuse, uncomplicated"
"F14221","Cocaine dependence with intoxication delirium"
"F12188","Cannabis abuse with other cannabis-induced disorder"
"O99324","Drug use complicating childbirth"
"F1514","Other stimulant abuse with stimulant-induced mood disorder"
"O99323","Drug use complicating pregnancy, third trimester"
"F12180","Cannabis abuse with cannabis-induced anxiety disorder"
"F15122","Oth stimulant abuse w intoxication w perceptual disturbance"
"F11250","Opioid depend w opioid-induc psychotic disorder w delusions"
"F13259","Sedatv/hyp/anxiolytc dependence w psychotic disorder, unsp"
"F1819","Inhalant abuse with unspecified inhalant-induced disorder"
"F1119","Opioid abuse with unspecified opioid-induced disorder"
"F14282","Cocaine dependence with cocaine-induced sleep disorder"
"F18220","Inhalant dependence with intoxication, uncomplicated"
"F13988","Sedative, hypnotic or anxiolytic use, unsp w oth disorder"
"F551","Abuse of herbal or folk remedies"
"F13229","Sedatv/hyp/anxiolytc dependence w intoxication, unsp"
"F13250","Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions"
"F1824","Inhalant dependence with inhalant-induced mood disorder"
"F18288","Inhalant dependence with other inhalant-induced disorder"
"F12251","Cannabis dependence w psychotic disorder with hallucinations"
"F19932","Oth psychoactv sub use, unsp w w/drawal w perceptl disturb"
"F19980","Oth psychoactive substance use, unsp w anxiety disorder"
"F13981","Sedatv/hyp/anxiolytc use, unsp w sexual dysfunction"
"F11120","Opioid abuse with intoxication, uncomplicated"
"F18159","Inhalant abuse w inhalant-induced psychotic disorder, unsp"
"F19981","Oth psychoactive substance use, unsp w sexual dysfunction"
"F1897","Inhalant use, unsp with inhalant-induced persisting dementia"
"F19231","Oth psychoactive substance dependence w withdrawal delirium"
"F12221","Cannabis dependence with intoxication delirium"
"F1910","Other psychoactive substance abuse, uncomplicated"
"F1114","Opioid abuse with opioid-induced mood disorder"
"F1326","Sedatv/hyp/anxiolytc depend w persisting amnestic disorder"
"F1520","Other stimulant dependence, uncomplicated"
"F15282","Oth stimulant dependence w stimulant-induced sleep disorder"
"F11982","Opioid use, unspecified with opioid-induced sleep disorder"
"F1927","Oth psychoactive substance dependence w persisting dementia"
"F16221","Hallucinogen dependence with intoxication with delirium"
"F16180","Hallucinogen abuse w hallucinogen-induced anxiety disorder"
"F14280","Cocaine dependence with cocaine-induced anxiety disorder"
"F1410","Cocaine abuse, uncomplicated"
"F13931","Sedatv/hyp/anxiolytc use, unsp w withdrawal delirium"
"F15221","Other stimulant dependence with intoxication delirium"
"F15281","Oth stimulant dependence w stim-induce sexual dysfunction"
"F558","Abuse of other non-psychoactive substances"
"F1420","Cocaine dependence, uncomplicated"
"F19230","Oth psychoactive substance dependence w withdrawal, uncomp"
"F1329","Sedative, hypnotic or anxiolytic dependence w unsp disorder"
"F19930","Oth psychoactive substance use, unsp w withdrawal, uncomp"
"F1997","Oth psychoactive substance use, unsp w persisting dementia"
"F14222","Cocaine dependence w intoxication w perceptual disturbance"
"F552","Abuse of laxatives"
"F15251","Oth stimulant depend w stim-induce psych disorder w hallucin"
"F16959","Hallucinogen use, unsp w psychotic disorder, unsp"
"F14988","Cocaine use, unspecified with other cocaine-induced disorder"
"F13930","Sedatv/hyp/anxiolytc use, unsp w withdrawal, uncomplicated"
"F1920","Other psychoactive substance dependence, uncomplicated"
"F1916","Oth psychoactv substance abuse w persist amnestic disorder"
"F1699","Hallucinogen use, unsp w unsp hallucinogen-induced disorder"
"F13220","Sedatv/hyp/anxiolytc dependence w intoxication, uncomp"
"F1327","Sedatv/hyp/anxiolytc dependence w persisting dementia"
"F18120","Inhalant abuse with intoxication, uncomplicated"
"F14181","Cocaine abuse with cocaine-induced sexual dysfunction"
"F15259","Oth stimulant depend w stim-induce psychotic disorder, unsp"
"F18229","Inhalant dependence with intoxication, unspecified"
"F13288","Sedative, hypnotic or anxiolytic dependence w oth disorder"
"F11188","Opioid abuse with other opioid-induced disorder"
"F11251","Opioid depend w opioid-induc psychotic disorder w hallucin"
"F12222","Cannabis dependence w intoxication w perceptual disturbance"
"F12122","Cannabis abuse with intoxication with perceptual disturbance"
"F19988","Oth psychoactive substance use, unsp w oth disorder"
"F18221","Inhalant dependence with intoxication delirium"
"F15988","Oth stimulant use, unsp with oth stimulant-induced disorder"
"F1921","Other psychoactive substance dependence, in remission"
"F18988","Inhalant use, unsp with other inhalant-induced disorder"
"F1694","Hallucinogen use, unsp w hallucinogen-induced mood disorder"
"F1429","Cocaine dependence with unspecified cocaine-induced disorder"
"F1593","Other stimulant use, unspecified with withdrawal"
"F13939","Sedatv/hyp/anxiolytc use, unsp w withdrawal, unsp"
"F12250","Cannabis dependence with psychotic disorder with delusions"
"F11988","Opioid use, unspecified with other opioid-induced disorder"
"F16288","Hallucinogen dependence w oth hallucinogen-induced disorder"
"F18188","Inhalant abuse with other inhalant-induced disorder"
"F16983","Hallucign use, unsp w hallucign persist perception disorder"
"F1817","Inhalant abuse with inhalant-induced dementia"
"F1814","Inhalant abuse with inhalant-induced mood disorder"
"F19222","Oth psychoactv substance depend w intox w perceptual disturb"
"O99320","Drug use complicating pregnancy, unspecified trimester"
"F18250","Inhalant depend w inhalnt-induce psych disorder w delusions"
"F1290","Cannabis use, unspecified, uncomplicated"
"F1124","Opioid dependence with opioid-induced mood disorder"
"F16220","Hallucinogen dependence with intoxication, uncomplicated"
"F14259","Cocaine dependence w cocaine-induc psychotic disorder, unsp"
"F13281","Sedatv/hyp/anxiolytc dependence w sexual dysfunction"
"F16251","Hallucinogen dependence w psychotic disorder w hallucin"
"F19280","Oth psychoactive substance dependence w anxiety disorder"
"F550","Abuse of antacids"
"F12980","Cannabis use, unspecified with anxiety disorder"
"F1396","Sedatv/hyp/anxiolytc use, unsp w persist amnestic disorder"
"F19182","Oth psychoactive substance abuse w sleep disorder"
"F15959","Oth stimulant use, unsp w stim-induce psych disorder, unsp"
"F1397","Sedatv/hyp/anxiolytc use, unsp w persisting dementia"
"F1917","Oth psychoactive substance abuse w persisting dementia"
"F11922","Opioid use, unsp w intoxication with perceptual disturbance"
"F14159","Cocaine abuse with cocaine-induced psychotic disorder, unsp"
"F553","Abuse of steroids or hormones"
"F14288","Cocaine dependence with other cocaine-induced disorder"
"F13182","Sedative, hypnotic or anxiolytic abuse w sleep disorder"
"F1390","Sedative, hypnotic, or anxiolytic use, unsp, uncomplicated"
"F14188","Cocaine abuse with other cocaine-induced disorder"
"F16988","Hallucinogen use, unsp w oth hallucinogen-induced disorder"
"F13159","Sedatv/hyp/anxiolytc abuse w psychotic disorder, unsp"
"F16280","Hallucinogen dependence w anxiety disorder"
"F11282","Opioid dependence with opioid-induced sleep disorder"
"F15120","Other stimulant abuse with intoxication, uncomplicated"
"F1899","Inhalant use, unsp with unsp inhalant-induced disorder"
"F11181","Opioid abuse with opioid-induced sexual dysfunction"
"F13188","Sedative, hypnotic or anxiolytic abuse w oth disorder"
"F12220","Cannabis dependence with intoxication, uncomplicated"
"F1220","Cannabis dependence, uncomplicated"
"F1919","Oth psychoactive substance abuse w unsp disorder"
"F13932","Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb"
"F11259","Opioid dependence w opioid-induced psychotic disorder, unsp"
"F1524","Oth stimulant dependence w stimulant-induced mood disorder"
"F13120","Sedatv/hyp/anxiolytc abuse w intoxication, uncomplicated"
"F16980","Hallucinogen use, unsp w anxiety disorder"
"F14120","Cocaine abuse with intoxication, uncomplicated"
"F14180","Cocaine abuse with cocaine-induced anxiety disorder"
"F1994","Oth psychoactive substance use, unsp w mood disorder"
"F1219","Cannabis abuse with unspecified cannabis-induced disorder"
"F14182","Cocaine abuse with cocaine-induced sleep disorder"
"F1419","Cocaine abuse with unspecified cocaine-induced disorder"
"O99322","Drug use complicating pregnancy, second trimester"
"F19232","Oth psychoactv sub depend w w/drawal w perceptl disturb"
"F19181","Oth psychoactive substance abuse w sexual dysfunction"
"F11281","Opioid dependence with opioid-induced sexual dysfunction"
"F15982","Oth stimulant use, unsp w stimulant-induced sleep disorder"
"F1599","Oth stimulant use, unsp with unsp stimulant-induced disorder"
"F1190","Opioid use, unspecified, uncomplicated"
"F12280","Cannabis dependence with cannabis-induced anxiety disorder"
"F1424","Cocaine dependence with cocaine-induced mood disorder"
"F16250","Hallucinogen dependence w psychotic disorder w delusions"
"F12229","Cannabis dependence with intoxication, unspecified"
"F1529","Oth stimulant dependence w unsp stimulant-induced disorder"
"F1523","Other stimulant dependence with withdrawal"
"F1423","Cocaine dependence with withdrawal"
"F13280","Sedatv/hyp/anxiolytc dependence w anxiety disorder"
"F13231","Sedatv/hyp/anxiolytc dependence w withdrawal delirium"
"F19931","Oth psychoactive substance use, unsp w withdrawal delirium"
"F11222","Opioid dependence w intoxication with perceptual disturbance"
"O99321","Drug use complicating pregnancy, first trimester"
"K7290","Hepatic failure, unspecified without coma"
"K721","Chronic hepatic failure"
"K711","Toxic liver disease with hepatic necrosis"
"I850","Esophageal varices"
"K729","Hepatic failure, unspecified"
"K7211","Chronic hepatic failure with coma"
"K7041","Alcoholic hepatic failure with coma"
"I982",
"K7210","Chronic hepatic failure without coma"
"K7291","Hepatic failure, unspecified with coma"
"I864","Gastric varices"
"K7110","Toxic liver disease with hepatic necrosis, without coma"
"K704","Alcoholic hepatic failure"
"K7040","Alcoholic hepatic failure without coma"
"K766","Portal hypertension"
"I8500","Esophageal varices without bleeding"
"I8501","Esophageal varices with bleeding"
"I859",
"K767","Hepatorenal syndrome"
